3	18	Anthology of Interest II	4	3	20020106	50
Raiders Lost Arcade	David,X,Cohen
Leela	Yeah,fix,ship,home
Amy	Abraca,duh,Just,ask,Professor,lives,Emerald,Laboratory,Martin,Luther,King,Boulevard
Leela	mean,yellow,brick,road
Amy	city,council,renamed,1975,Ooh,great,shoes
Leela	Oh,thank
Amy	come,women's,sizes
Fry	OK,crow,prepare,scared,honk,honk,car,honked,horn
Leela	Wow,talking,scarecrow,Wanna,come,Professor,able,brain
Fry	Hey,That's,nice,thing,say
Bender	Beer,Beer
Leela	Whiskey,OK
Bender	did,say,Professor,'Cause,use,heart,human,heart,need,pump,lot,blood,basement
Zoidberg	I'm,guy,courage,Need,whatshisname
Mom	Damn,DSL,Fly,stupids,Fly
Igner	Mom,promised,you'd,bake,monkey,cake,today
Mom	monkey,cake,meant,ass
Fry	Man,we've,skipping,hours,need,pull,wiz
Zoidberg	smell
Leela	did,bring
Zoidberg	did,cab
Mom	I'll,tell,brought,you,twice,baked,barf,bags,I've,wanted,daughter,love,want,adopted,little,skank
Leela	live,witch,like,Yeah,alright,long,hurt,people,just,dance,equinox
Mom	Absolutely
Leela	Oh,Mommy,true,home
Bender	Hooray
Zoidberg	Alright
Fry	That's,great,Leela
Bender	I've,heard,worse,excuses,drink,Oops
Mom	I'm,melting,Oh,thought,small,liquid,fall
Bender	point,letting,waste
Hermes	Yes
Leela	We're,Professor
Hermes	sees,mighty,Professor
Farnsworth	Who's,Hermes,visitors,want
Hermes	He's
Leela	Oh,love,Benji
Farnsworth	Professor,great,uh,forgetful,nice,kids,want
Zoidberg	I'm,leaving,extra,courage,I'd,haul,away,maybe
Farnsworth	Oh,blithery,poop,cowardly,lobster,don't,need,courage,needs,courage,gun
Zoidberg	world,hands
Farnsworth	lad,need,brain
Fry	does,saying
Bender	stick,up,Gimme,bag,old,man
Farnsworth	friend,5000,Professor,Land,fun,bucks
Bender	Oh,crap
Farnsworth	young,lady,want,home,right
Leela	anymore,wanna,stay,new,Wicked,Witch
Farnsworth	Nonsense,click,big,honking,boots,times,wish,home,Kansas,live,poverty,dirt,farming,teetotalling,aunt,uncle
Leela	Uh,alright,Oh,Help,What's,happening
Zoidberg	Uh,sorry,think,there's,problem,upstairs,toilet
Bender	Wake
Fry	Leela,alright,got,wanged,head
Leela	having,wonderful,dream,you
Fry	mind,Professor,came
Farnsworth	Oh,close
Hermes	There's,year,Professor,There's,year
