5	14	Into the Wild Green Yonder Part 2	6	14	20090830	86
Hermes Zoidberg	Previously,Futurama
Hutch	Sorry,bashed,head,buddy,fate,universe,depends
Fry	Yeah,lot
Hutch	Grand,Curator,tell
Fry	
Nine	Hey,man
Fry	Hey
Nine	dig,Fry,commune,monitoring,universe's,life,energy,like,really,long,time,we're,grokking,super,weird,junk
Fry	Um,don't,mean,rude,it's,kind,hard,seriously,say,junk,like,grok,junk
Nine	commune
Fry	Especially,commune,Come,it's,fate,universe,puff,little,Like,say,ancient,order,sensing,deep,upheaval,cosmic,life,energy,field
Nine	Okay,I'll,try,like,really,really,long,time,ago,Eons,ago,Cool,Eons,ago,life,force,Chee,permeated,universe,Green,Chee,generated,great,upwelling,life,cosmos,reasons,unknown
Fry	Ooh,Reasons,unknown,that's,sort,hook,grabs,attention,viewer
Nine	reasons,unknown
Fry	Nice
Nine	Chee,began,recede,diversity,life,began,wither,life,forms,know,today,fraction,fraction,magnificence,existed
Hutch	bunch,dudes,right,totally,passed,far,out,knowledge,ages
Nine 	knowledge,called,prophets,fruitcakes,Legion,Madfellows,heirs
Fry	Hey,I'm,TV
Nine	that's
Fry	Neat,What's,got
Nine	Ahh,pooperdoodle,mean,pardon,omission,untold,eternities,sensed,resurgence,Chee
Fry	Hey,that's,violet,dwarf,star,Leela,wants,save
Hutch	Freaking,nailed,corndog
Nine	believe,star,heralds,new,green,age,it's,destiny,shepherd,protector
Fry	
Hutch	'Cause,got,like,delta,brainwave,man,Dark,Ones,can't,groove,thoughts
Nine	Silence,Hutch,let's,just,say,enemies,enemies,read,minds
Fry	Cool,can't,wait,tell,Leela
Nine	tell,thoughts,read,sake,love,secret,foot,swear
Fry	Oh,okay,foot,swear
Nine	Good,save,coming,green,age,stop,man
Fry	know,Leo,Wong,work,daughter
Nine	Oh,good,cut,15,minutes,explanation,gain,Wong's,confidence,infiltrate,organization,prevent,destroying,violet,dwarf
Mr Wong	Looking,job,eh
Fry	Yes,sir,fancy,I'm,willing,start,infiltrate,way
Mr Wong	Sorry,openings,right,need,security,guard,nutcases,office
Fry	I'm,good,keeping,nutcases
Mr Wong	said,way,idiot,don't,look,like,handle,feministas
Fry	look,like,idiot,handle,feministas
Mr Wong 	He'll,better
Fry	I'll,better
Mr Wong	Hmm,think,lot,alike,really,think,stand,eco,freakos
Fry	Sir,they'll,worries
Tester	Stand,men,manly,aliens,Prepare,test,King,Kong,hole
Sal	workses
Tester	Good,job,men,manly,aliens,Construction,King,Kong,hole,complete
Frida	Typical,King,Kong,Queen,Quong
Sal	hooks,heres,hookers
Sal	Helpses
Leela	gorilla
Morbo	story,string,eco,vandalism,began,harmless,vice,presidential,killing,spread,galaxy
Linda	read,story,Morbo
Morbo	viewers,trust,deep,male,voice,huge,throbbing,forehead,veins
Linda	reaction,crime,spree,negative,spoke,people,viewed,courageous,eco,feminists,heroes
Petunia	just,wish,way,Excuse,way,support,'em,Send,smokes
Linda	just,Root,2,News,received,video,communique,eco,feminists',unknown,hideout
Leela	sub,commander,L,message,Leo,Wong,Leo,you're,parasite,universe,parasites,destroyed,That's,we've,adopted,parasite,mascot,know,it's,little,confusing,point,vicious,leech,right,exist,that's,vicious,leech,like,Leo,Wong,exterminated,confusing,Feministas,unite
Morbo	news
Linda	Feministas,unite
Linda 	Feministas,unite
Nixon	Incredible,Absolutely,incredible,You're,telling,TiVo,machine,pause,rewind,live,TV
Mr Wong	crazy,broads,gonna,ruin,Nixon,gotta,help,Send,army,Something,big,shoots
Nixon	Sir,don't,care,biggest,contributor,armed,forces,serve,private,business,interests
Mr Wong	Sorry
Nixon	I'm,just,yanking,chain,Leo,I'm,like,boring,Gerry,Ford
Zapp Brannigan	Zapp,Brannigan,purporting,duty,love,God,Kif,piccolo,fife
Nixon	Report,Brannigan
Zapp	Mr,President,failed,identify,curvaceous,banditas,despite,hours,staring,dossiers,stroked,myself,good,luck,patriot,highest,order,volunteered,lead
Bender	Hey,oh
