2	1	I Second that Emotion	2	5	19991121	14
Announcer	Glagnar's,Human,Rinds,It's,buncha,muncha,cruncha,human
Fry	I'll,care,Back
Vyolet	Thanks,handsome
Dwayne	frightened,we're,harmless
Raoul	arms
Dwayne	said,harmless,armless
Vyolet	Lay,know,he's,got,ear
Fry	Hey,aren't,supposed,eating,brains,You're,mutants
Dwayne	Mutants,mutants
Vyolet	Dwayne,looked,mirror,lately
Raoul	Welcome,village,Paris,certain,quaint,charm,wouldn't,trade,world
Bender	guys,realise,live,sewer,right
Dwayne	perhaps,civilisation,merely,sewer,greater,society
Leela	we're
Fry	Daylight
Vyolet	wonderful
Bender	Eh
Leela	Listen,actually,came,pet,Nibbler,got,flushed,toilet
Raoul	got,flushed,toilet,probably,came,does,Follow,library
Bender	crumpled,porno,Ayn,Rand
Raoul	church
Fry	Wow,guys,worship,unexploded,nuclear,bomb
Vyolet	Yeah,nobody's,observant,It's,mainly,Christmas,Easter,thing
Leela	Nibbler
Bender	Come,Daddy,sweetie,ookums
Fry	true,alligators,flushed,toilet,survive
Vyolet	That's,just,urban,legend
Bender	
Vyolet	Crocodiles
Raoul	pets,grow,large,flush,sub,sewer
Dwayne	say,there's,freakish,race,sub,mutants
Vyolet	that's,just,sub,urban,legend
Dwayne	Oh,suppose,don't,believe,El,Chupanibre
Leela	El,Chupanibre,What's
Dwayne	Gather,round,children,legend,El,Chupanibre
Vyolet	Crocodile
Dwayne	
Leela	Wait,pet,Nibbler,loves,fresh,crocodile,It's,favourite,treat,El,Chupanibre
Bender	Hey,yeah
Raoul	unleashed,dreaded,El,Chupanibre,sworn,enemies
Leela	don't,understand,hurt,people,Let,help,capture
Dwayne	Impossible,legend,true,hope,offer,snack,rifice
Raoul	Yes,unspoiled,virgin
Leela	volunteer
Vyolet	Nice,try,Leela,we've,seen,Zapp,Brannigan's,webpage
Bender	Oh,myself,feel,bad
Raoul	She'll,Chain,post,Behold,El,Chupanibre,comes,uh,virgin,snared,rope,trap
Dwayne	Shh,El,Chupanibre,comes,soon,nightfall
Leela	Nightfall,tell
Dwayne	tide,coming
Vyolet	Quiet,beast,approaches
Bender	Nibbler,Aw,come,precious,Look,it's,El,Chupanibre
Dwayne	That's,El,Chupanibre
Bender	Say
Dwayne	That's,El,Chupanibre
Fry	I'll,care
Leela	Bender
Bender	I'm,scared
Fry	Leela,scaredness,transmitted,straight,Bender,care,Nibbler,stop,caring
Leela	can't,love,living,creature
Fry	
Leela	friend
Fry	Damn
Bender	Listen,Leela,I'm,expert,caring,secret,stop,giving,rat's,ass,start,thinking,things,want,deserve,world,owes
Leela	use,new,tank
Bender	Bigger,Bigger
Leela	fashionable,tank,designer,boots,encrusted,jewels
Bender	Don't,stop,you'll,need,pants,outfit
Leela	Yeah,afford,didn't,feed,stupid,Nibbler
Bender	Bender,I'll,save,Nibbler
Fry	Bender's,gonna,killed
Leela	know,use,weekend,fancy,spas,Toblerone
Fry	Yeah
Leela	did
Raoul	Let's,tissue,tape,parade
Bender	thanks
Dwayne	Gather,round,children,hear,legend,Bender
Farnsworth	disgusting,story
Leela	it's,thanks,Bender,love,Bender
Bender	love,stupid,chip,kill,myself
Farnsworth	Bender,won't,believe,empathy,chip,burned,emotion,felt,Nibbler,actually
Fry	Looks,like,Bender,learned,important,lesson,respecting,people's,feelings,afterall
Farnsworth	I'm,wrong,empathy,chip,running,triple,capacity
Bender	barely,felt,Goodnight,losers
Leela	know,Bender,learned,think,actually,learned,long,jerkwads
Farnsworth	long
